Name,Form
Above Ground Level,AGL
Actual Time Of Arrival/Air Traffic Area,ATA
Actual Time Of Departure,ATD
Aeronautical,AERO
Aeronautical Information Manual,AIM
Air Carrier,ACR
Air Data Computer,ADC
Air Defense Identification Zone,ADIZ
Air Driven Generator,ADG
Air Force Base,AFB
Air National Guard,ANG
Air Route Surveillance Radar,ARSR
Air Route Traffic Control Center,ARTCC
Air Traffic Control,ATC
Aircraft,ACFT
Airline Transport Pilot Certificate,ATP
Airline Transport Rating,ATR
Airport,ARPT
Airport Facility Directory,AFD
Airport Surveillance Radar,ASR
Airport Traffic Control Tower,ATCT
Allowable Takeoff Gross Weight,ATOG
Alternating Current,AC
Altitude,ALT
Altitude Deviation,ALTDEV
Ambiguity,AMB
Ante Meridiem,AM
Approach,APCH
Approach Control,APCH CTL
Approximately,APPROX
Area Navigation,RNAV
Arrival,ARR
As Soon As Possible,ASAP
Attention,ATTN
Attitude Direction Indicator,ADI
Authority,AUTH
Automated Flight Service Station,AFSS
Automated Radar Terminal Systems,ARTS
Automated Surface Observation Sys (Or Weather Observation Sys),ASOS
Automatic Weather Observing System,AWOS
Automatic,AUTO
Automatic Communications Addressing & Reporting System,ACARS
Automatic Direction Finder,ADF
Automatic Landing System,ALS
Automatic Terminal Information Service,ATIS
Autopilot and Flight Director System,AFDS
Auxiliary,AUX
Auxiliary Power Unit,APU
Average,AVG
Aviation Gasoline,AVGAS
Aviation Medical Examiner,AME
Aviation Safety Reporting System,ASRS
Back Course,BC
Balance,BAL
Base Operations Office,BASE OPS
Between,BTWN
Biennial Flight Review,BFR
Bright Radar Indicator Tower Equipment,BRITE
Broadcast Station,BCSTN
Broken,BKN
Cabin Attendant,CAB
Captain,CAPT
Carburetor,CARB
Category/Clear Air Turbulence,CAT
Cathode Ray Tube,CRT
Celsius,C
Center,CTR
Central Air Data Computer,CADC
Central Aural Warning System,CAWS
Central Daylight Time,CDT
Central Processing Unit,CPU
Central Standard Time,CST
Certified Flight Instructor,CFI
Check,CHK
